Unnamed: 0,Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 13
15,AJ Woodcock (AUS),1974-1974,1,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
43,AK Markram (SA),2017-2019,26,6.0,120.0,132.0,3.0,2/18,44.0,6.6,40.0,0.0,0.0,0.0
29,AK Patel (INDIA),1984-1985,8,6.0,360.0,263.0,7.0,3/43,37.57,4.38,51.4,0.0,0.0,0.0
27,AK Perera (SL),2013-2019,6,3.0,36.0,33.0,0.0,-,0.0,5.5,0.0,0.0,0.0,0.0
15,AK Sah (NEPAL),2018-2018,2,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
0,AK Sharma (INDIA),1988-1993,31,29.0,1140.0,875.0,15.0,3/41,58.33,4.6,76.0,0.0,0.0,0.0
45,AK Zesers (AUS),1987-1987,2,2.0,90.0,74.0,1.0,1/37,74.0,4.93,90.0,0.0,0.0,0.0
5,AL Kandappah (CAN),2007-2007,2,1.0,1.0,4.0,0.0,-,0.0,24.0,0.0,0.0,0.0,0.0
20,AL Logie (WI),1981-1993,158,4.0,24.0,18.0,0.0,-,0.0,4.5,0.0,0.0,0.0,0.0
0,AL Phehlukwayo (SA),2016-2019,52,50.0,2077.0,1936.0,65.0,4/22,29.78,5.59,31.9,3.0,0.0,0.0
24,AL Thomson (AUS),1971-1971,1,1.0,64.0,22.0,1.0,1/22,22.0,2.06,64.0,0.0,0.0,0.0
35,AL Wadekar (INDIA),1974-1974,2,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
24,ALF de Mel (SL),1982-1987,57,57.0,2735.0,2237.0,59.0,5/32,37.91,4.9,46.3,1.0,2.0,0.0
48,AM Bacher (SA),1997-2005,13,3.0,108.0,64.0,3.0,2/36,21.33,3.55,36.0,0.0,0.0,0.0
15,AM Blignaut (ZIM),1999-2010,54,53.0,2348.0,2063.0,50.0,4/43,41.26,5.27,46.9,2.0,0.0,0.0
17,AM Ellis (NZ),2012-2013,15,13.0,480.0,425.0,12.0,2/22,35.41,5.31,40.0,0.0,0.0,0.0
12,AM Fernando (SL),2017-2017,1,1.0,12.0,22.0,0.0,-,0.0,11.0,0.0,0.0,0.0,0.0
19,AM Guruge (UAE),2014-2015,7,7.0,351.0,337.0,12.0,4/56,28.08,5.76,29.2,1.0,0.0,0.0
13,AM Nayar (INDIA),2009-2009,3,1.0,18.0,17.0,0.0,-,0.0,5.66,0.0,0.0,0.0,0.0
16,AM Phangiso (SA),2013-2016,21,21.0,1085.0,829.0,26.0,3/40,31.88,4.58,41.7,0.0,0.0,0.0
24,AM Rahane (INDIA),2011-2018,90,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
16,AM Salvi (INDIA),2003-2003,4,4.0,172.0,120.0,4.0,2/15,30.0,4.18,43.0,0.0,0.0,0.0
32,AM Samad (CAN),2003-2009,27,14.0,235.0,281.0,7.0,1/8,40.14,7.17,33.5,0.0,0.0,0.0
36,AM Stuart (AUS),1997-1997,3,3.0,180.0,109.0,8.0,5/26,13.62,3.63,22.5,0.0,1.0,0.0
11,AM de Silva (SL),1986-1993,4,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
27,AME Roberts (WI),1975-1983,56,56.0,3123.0,1771.0,87.0,5/22,20.35,3.4,35.8,2.0,1.0,0.0
17,AMJ Hilditch (AUS),1979-1985,8,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
8,AMN Munasinghe (SL),1994-1996,5,5.0,217.0,146.0,4.0,3/30,36.5,4.03,54.2,0.0,0.0,0.0
43,AN Connolly (AUS),1971-1971,1,1.0,64.0,62.0,0.0,-,0.0,5.81,0.0,0.0,0.0,0.0
34,AN Cook (ENG),2006-2014,92,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
14,AN French (HKG),2004-2004,2,2.0,72.0,67.0,1.0,1/51,67.0,5.58,72.0,0.0,0.0,0.0
11,AN Kervezee (NL),2006-2012,39,2.0,24.0,34.0,0.0,-,0.0,8.5,0.0,0.0,0.0,0.0
29,AN Petersen (SA),2006-2013,21,1.0,6.0,7.0,0.0,-,0.0,7.0,0.0,0.0,0.0,0.0
30,AN Ranasinghe (SL),1975-1982,9,8.0,324.0,281.0,2.0,1/21,140.5,5.2,162.0,0.0,0.0,0.0
30,AO Malhotra (INDIA),1982-1986,20,1.0,6.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
35,AO Suji (KENYA),1996-2008,60,46.0,1295.0,1175.0,21.0,2/14,55.95,5.44,61.6,0.0,0.0,0.0
28,AP Devcich (NZ),2013-2016,12,11.0,324.0,291.0,4.0,2/33,72.75,5.38,81.0,0.0,0.0,0.0
23,AP Grayson (ENG),2000-2001,2,2.0,90.0,60.0,3.0,3/40,20.0,4.0,30.0,0.0,0.0,0.0
14,AP Gurusinha (SL),1985-1996,147,55.0,1585.0,1354.0,26.0,2/25,52.07,5.12,60.9,0.0,0.0,0.0
44,AP Igglesden (ENG),1994-1994,4,4.0,168.0,122.0,2.0,2/12,61.0,4.35,84.0,0.0,0.0,0.0
34,AP Kuiper (SA),1991-1996,25,19.0,588.0,518.0,18.0,3/33,28.77,5.28,32.6,0.0,0.0,0.0
5,AP Sheahan (AUS),1972-1972,3,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
11,AP Weerakkody (SL),1994-1994,1,1.0,36.0,41.0,0.0,-,0.0,6.83,0.0,0.0,0.0,0.0
1,AP Wells (ENG),1995-1995,1,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
45,APB Tennekoon (SL),1975-1979,4,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
46,APE Knott (ENG),1971-1977,20,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
0,AR Adams (NZ),2001-2007,42,40.0,1885.0,1643.0,53.0,5/22,31.0,5.22,35.5,2.0,1.0,0.0
37,AR Berenger (UAE),2014-2015,10,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
16,AR Border (AUS),1979-1994,273,87.0,2661.0,2071.0,73.0,3/20,28.36,4.66,36.4,0.0,0.0,0.0
10,AR Butcher (ENG),1980-1980,1,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
31,AR Caddick (ENG),1993-2003,54,53.0,2937.0,1965.0,69.0,4/19,28.47,4.01,42.5,3.0,0.0,0.0
6,AR Cusack (IRE),2007-2015,59,52.0,1953.0,1510.0,63.0,5/20,23.96,4.63,31.0,1.0,1.0,0.0
14,AR Kapoor (INDIA),1995-2000,17,17.0,900.0,612.0,8.0,2/33,76.5,4.08,112.5,0.0,0.0,0.0
38,AR Khurasiya (INDIA),1999-2001,12,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
23,AR McBrine (IRE),2014-2019,42,40.0,2045.0,1489.0,42.0,3/38,35.45,4.36,48.6,0.0,0.0,0.0
22,AR Nurse (WI),2016-2019,54,49.0,2384.0,2125.0,49.0,4/51,43.36,5.34,48.6,2.0,0.0,0.0
47,AR Patel (INDIA),2014-2017,38,35.0,1908.0,1409.0,45.0,3/34,31.31,4.43,42.4,0.0,0.0,0.0
4,AR Pitcher (BMUDA),2006-2007,4,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
29,AR Tait (NZ),1998-1999,5,5.0,120.0,88.0,3.0,2/37,29.33,4.4,40.0,0.0,0.0,0.0
26,AR White (IRE),2006-2014,61,35.0,869.0,688.0,25.0,4/44,27.52,4.75,34.7,1.0,0.0,0.0
1,AR Whittall (ZIM),1996-2000,63,62.0,3085.0,2251.0,45.0,3/23,50.02,4.37,68.5,0.0,0.0,0.0
29,ARC Fraser (ENG),1989-1999,42,42.0,2392.0,1412.0,47.0,4/22,30.04,3.54,50.8,1.0,0.0,0.0
47,ARM Opatha (SL),1975-1979,5,5.0,253.0,180.0,5.0,3/31,36.0,4.26,50.6,0.0,0.0,0.0
13,AS Hansra (CAN),2010-2014,24,18.0,445.0,413.0,7.0,3/27,59.0,5.56,63.5,0.0,0.0,0.0
29,AS Joseph (WI),2016-2019,22,21.0,1033.0,1107.0,30.0,5/56,36.9,6.42,34.4,1.0,1.0,0.0
26,AS Luseno (KENYA),2003-2010,10,10.0,330.0,316.0,9.0,4/32,35.11,5.74,36.6,1.0,0.0,0.0
